Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar
UMABOB_clean,0.000245933,0.115102863,0.230143464,0.99821708
UMEDEX_clean,0.0001203193,0.067929106,0.134576121,0.627080382
UMEDIB_clean,0.0001224475,0.066775373,0.13139804,0.606291001
UMEDOH_clean,0.000149906,0.068215111,0.134767448,0.631962189
UMEKAA_clean,0.0003118847,0.166708338,0.327773779,1.47891976
UMEKEE_clean,0.0002546726,0.12206842,0.244984587,1.153101768
UMEKII_clean,0.000359363,0.178870827,0.344293122,1.328640101
UMESIQ_clean,0.0001836439,0.081139001,0.157717308,0.680698765
UMEXUF_clean,0.0001106618,0.061671292,0.121368812,0.539594324
UMEXUF01_clean,9.43347e-05,0.062444111,0.121981987,0.55591785
UMIGAA_clean,0.0001650749,0.080085266,0.157511692,0.724188602
UMOBEF_clean,0.0002377817,0.131921302,0.259695012,1.268528149
UMOBEF01_clean,0.0002411786,0.140196106,0.280511104,1.318893715
UMOBEF02_clean,0.00031591,0.142441445,0.28609218,1.357726868
UMOBEF03_clean,0.0003261007,0.152750982,0.299530245,1.419903393
UMOBEF04_clean,0.0003600695,0.181580318,0.361846042,1.649084215
UMOBEF05_clean,0.0003125131,0.182052484,0.357922643,1.584016944
UMOBEF06_clean,0.0004280071,0.180068705,0.356937548,1.577654584
UMOBEF07_clean,0.0003974352,0.1836694,0.359529368,1.579461726
UMOBEF08_clean,0.0003498788,0.181886037,0.359322159,1.56363905
UMOBEF09_clean,0.0003770539,0.182331028,0.360161188,1.577712331
UMODEH_clean,0.0003021477,0.144971803,0.287532993,1.370614437
UMODEH01_clean,0.0002561687,0.139106196,0.274947882,1.319722246
UMODEH02_clean,0.000321853,0.136038739,0.274113692,1.292226801
UMODEH03_clean,0.0002561687,0.136744845,0.278136855,1.310894277
UMODEH04_clean,0.0002955793,0.147520354,0.291671103,1.379340595
UMODEH06_clean,0.0003579794,0.155225121,0.310013442,1.444466571
UMODEH07_clean,0.0003087162,0.157100408,0.313649068,1.453911973
UMODEH08_clean,0.0003317057,0.189022974,0.376242915,1.684079588
UMODEH09_clean,0.0004236637,0.187607478,0.374531839,1.64478396
UMODEH10_clean,0.0003776847,0.183127809,0.369060337,1.597593079
UMODEH11_clean,0.0003842531,0.187127982,0.371076845,1.60068681
UMODEH12_clean,0.0004105268,0.187584488,0.370820676,1.591362924
UMODEH13_clean,0.0003579794,0.185489159,0.362849887,1.599842767
UMODEH14_clean,0.0003448425,0.152170802,0.297674647,1.377915246
UMODEH15_clean,0.0002824425,0.144607255,0.291102934,1.383695464
UMODEH16_clean,0.0002693056,0.130757722,0.260096663,1.24186337
UMODEH17_clean,0.0002988635,0.16024997,0.320050002,1.481466534
UMODEH18_clean,0.000275874,0.145723888,0.290797502,1.383531253
UMODEH19_clean,0.0003507435,0.181644255,0.367112635,1.644469276
UMODEH20_clean,0.0003448425,0.164962818,0.318939937,1.486530793
UMODEH21_clean,0.0002693056,0.159136621,0.317196019,1.475078736
UMODEH22_clean,0.0003021477,0.154535436,0.30753386,1.441986989
UMODEH23_clean,0.0002397477,0.14757947,0.291175187,1.382286535
UMODEH24_clean,0.000275874,0.146380731,0.293904369,1.384424559
UMODEH25_clean,0.0003546952,0.157691566,0.317015388,1.475840674
UMOKIS_clean,0.0001685315,0.079600074,0.158115042,0.740003942
UMOVEZ_clean,0.0003328944,0.137200057,0.277943061,1.31012976
UMOVEZ01_clean,0.0003193069,0.15561795,0.309574824,1.447037685
UMOVEZ02_clean,0.0003227038,0.154378088,0.309479712,1.442744026
UMOVEZ03_clean,0.0003362913,0.146993267,0.294190347,1.390900816
UMOVEZ04_clean,0.0003702601,0.143647338,0.284740221,1.35874933
UMOVEZ05_clean,0.0002649568,0.156626824,0.308613507,1.47037766
UMOVID_clean,0.0002207973,0.137077769,0.273364064,1.304518111
UMOVOJ_clean,0.0002751474,0.130946397,0.262911859,1.275430612
UMOYOM_clean,0.0002742592,0.163106697,0.324576782,1.510857983
UMOYOM01_clean,0.0003249375,0.161893398,0.320051506,1.494229531
UMOYOM02_clean,0.0003219564,0.158020978,0.317970713,1.453639174
UMOYOM03_clean,0.0002845765,0.141654839,0.28389413,1.346276351
UMOYOM04_clean,0.0002876365,0.144570983,0.284154227,1.363644698
UMOYOM05_clean,0.0003212961,0.156064202,0.31237932,1.458261794
UMOYOM06_clean,0.0003026825,0.142987208,0.284569332,1.340905732
UMOYOM07_clean,0.0002485183,0.145070938,0.289896544,1.358474061
UMOYOM08_clean,0.0003090562,0.133059404,0.267847688,1.270903358
UMOYOM09_clean,0.0002845765,0.145482852,0.290485289,1.370823369
UMOYOM10_clean,0.0002906964,0.145081997,0.28713769,1.34069192
UMOYOM11_clean,0.0003090562,0.157428945,0.313398288,1.461254438
UMOYOM12_clean,0.0003755922,0.165958574,0.330507846,1.532339753
UMOYOM13_clean,0.0003610756,0.186679125,0.37420892,1.668355752
UMOYOM14_clean,0.0004406346,0.201054829,0.396687404,1.758465524
UMOYOM15_clean,0.0003977951,0.199941002,0.40347134,1.743606347
UMOYOM16_clean,0.000403915,0.191434307,0.383697863,1.63271637
UMOYOM17_clean,0.000368329,0.178730009,0.356251641,1.538468035
UMOYOM18_clean,0.0003726347,0.205387325,0.406860495,1.77366385
UMOYOM19_clean,0.0003733154,0.192122798,0.373603048,1.604191401
UMOZUT_clean,0.0003481268,0.160447023,0.317764188,1.480188974
UMUBAH_clean,0.0002988635,0.162709846,0.317734631,1.485410875
UMUBEL_clean,0.0002890109,0.154693078,0.312634245,1.454854542
UMUBIP_clean,0.0002693056,0.149129619,0.295539908,1.407561851
UMUBOV_clean,0.0003612636,0.164887281,0.327413211,1.531639481
UMUXEG_clean,6.0746e-05,0.02997677,0.059638931,0.282087908
UNACES01_clean,0.0004861542,0.251075934,0.485886729,1.905456987
UNADIX_clean,0.0002153739,0.11840295,0.232215743,1.02462698
UNAGOH_clean,0.0001796468,0.085735456,0.16709059,0.802183898
UNAGUN_clean,0.000154802,0.086064172,0.170259252,0.79641418
UNECOH_clean,0.0001553565,0.07037523,0.139878172,0.665352502
UNECUN_clean,0.0001705274,0.077250079,0.150823958,0.687835669
UNIMAG_clean,0.0001068213,0.048458047,0.097404882,0.44500397
UQETOB_clean,0.0003157467,0.142155322,0.28137266,1.266059526
UQOWUU_clean,0.0002171974,0.102836823,0.201804192,0.850757596
UQOYOP_clean,0.0004594436,0.215594691,0.413618008,1.61279706
UQULAU_clean,0.0001705639,0.097112147,0.193159511,0.864793903
URENEM_clean,0.0002142141,0.119065104,0.237034592,1.116704781
URUWEL_clean,0.0001115049,0.048989778,0.097617654,0.467532242
URUWIP_clean,9.97675e-05,0.052215595,0.106250481,0.488831635
USAHAZ_clean,0.0002213338,0.11884244,0.236237408,1.122297145
USAWIW_clean,0.0001324366,0.075000388,0.147117565,0.695626699
USEVOF_clean,0.0002689602,0.123363489,0.237559414,0.963122418
USIRUL_clean,0.0001968256,0.095896941,0.183473615,0.588353621
USISEW_clean,0.0002387241,0.119605656,0.22446888,0.645982598
USORUR_clean,0.0002677635,0.131463593,0.259882617,1.176833618
USOXEH_clean,0.0002225806,0.11295756,0.218520963,0.946909709
USUBUG_clean,0.000318929,0.161473973,0.31610547,1.301250371
USUVIP_clean,0.0001884703,0.084200361,0.164896195,0.712835267
UTACOJ_clean,6.31261e-05,0.034299089,0.067378847,0.324506561
UTACUP_clean,6.56003e-05,0.03756313,0.073118493,0.35727514
UTELIQ_clean,0.0004789398,0.226413876,0.441769407,1.838094247
UTEMAJ_clean,0.000348176,0.158489694,0.309794302,1.393605902
UTEWOG_clean,0.000382719,0.194414762,0.380783776,1.661417745
UTEXIB_clean,0.0003672176,0.17494893,0.341220725,1.396316725
UTOCAJ_clean,0.0003417573,0.159275594,0.308022204,1.31972159
UTOCEN_clean,0.0003084152,0.162324022,0.313479604,1.334464788
UTULEB_clean,0.0002564306,0.126968405,0.242734118,0.988046854
UTULIF_clean,0.0002361251,0.121942494,0.236809306,0.985185765
UVANUC_clean,0.0001724029,0.081490957,0.157707868,0.685855803
UVEVAT_clean,0.0003222181,0.159945779,0.312094609,1.379715984
UVEVUN_clean,0.0003052423,0.137060115,0.269004043,1.259555061
UVINAP_clean,0.0001199408,0.062575187,0.121416566,0.506861882
UVIPIZ_clean,0.0002009146,0.102293566,0.202290966,0.913145634
UVIPOF_clean,0.000228312,0.103318361,0.206735875,0.926047872
