Adsorbent,CO2_10C_0.5bar,CO2_10C_1bar,CO2_10C_5bar
AQOLEZ_clean,1.592782331,2.461579926,6.847077359
AQOLID_clean,1.353783969,1.970185036,5.455314615
AQOLOJ_clean,3.010360722,4.474738032,11.11666393
AQOLUP_clean,1.497463162,2.340694584,6.490183256
AQOMAW_clean,3.161743403,3.585967696,5.673806051
AQOMEA_clean,1.327006033,2.205121022,6.285092688
AQOMEA01_clean,1.404616026,2.243994235,6.326295607
AQUCOF_clean,5.89289365,6.678927816,8.211511272
AQUCOG_clean,5.485462615,5.964622681,6.37921389
AQUCUM_clean,5.013037315,5.71110582,6.324620548
AQUDAS_clean,6.020285889,6.687734438,8.18605289
AQUDAT_clean,1.817202304,1.818955477,1.819808602
AQUDEX_clean,1.809740302,1.816745882,1.819912399
AQUDIB_clean,5.630553486,6.041220837,6.39022031
AQUDOH_clean,1.800128424,1.813856632,1.815870007
ARADEE_clean,8.913731341,9.288003664,10.05887578
ARAFEF_clean,1.354420591,2.965960924,10.42404076
ARAFIJ_clean,1.841522669,3.739280662,8.754368809
ARAFOP_clean,2.357976134,3.292072534,4.966668805
ARAGOR_clean,6.818901437,7.08339328,7.783301481
ARINOF_clean,1.836741486,2.451912678,3.470354696
ARINUL_clean,1.278521961,1.85219381,2.994689071
AROFAP_clean,4.722262782,4.935810726,5.453662999
AROFET_clean,9.224128222,10.00290945,12.23418094
ARUYES_clean,4.129943122,4.399469869,5.149984979
ARUYUH_clean,0.936742773,1.740646987,3.336055817
ARUYUH01_clean,1.646946675,2.589898329,4.154151757
ASACON_clean,2.595887773,2.762517313,3.240247884
ASADAA_clean,1.139829736,1.413778388,2.492601178
ASANAL_clean,1.530880257,2.170934507,3.678277865
ASEJOZ_clean,3.74403457,3.854012717,4.160442297
ASEJOZ01_clean,3.794087332,3.869699126,4.02376034
ASEKAM_clean,3.988231218,4.052276855,4.067712138
ASINAT_clean,8.810174503,10.45331299,15.11613804
ASINEX_clean,8.144980153,10.06849397,15.64592837
ASINIB_clean,8.260038292,10.16988564,15.65674608
ASIQEA_clean,6.112742385,6.493104128,7.717854285
ASIQIE_clean,6.394035848,6.896838617,8.378420347
ASIVAB_clean,20.36575637,22.82009124,28.74652562
ASIVEF_clean,17.0981776,18.80986027,23.32128135
ASOHUL_clean,5.300434599,6.06891298,8.407810017
ASOSUY_clean,18.02352866,18.15265215,18.28310149
ASOVEL_clean,6.285296751,6.436526113,6.811953196
ASOYOY_clean,4.332087251,5.526380045,9.196182415
ASUWUI_clean,6.637486334,6.821463081,7.188807741
ATAFIK_clean,7.769075662,8.304203702,9.513659167
ATAYAX_clean,16.78891842,17.32016288,18.53591737
ATAYEB_clean,16.58080973,17.19829055,18.24942711
ATEYED_clean,0.83719298,1.678719837,11.60104548
ATEYUV_clean,14.29232199,15.61920378,19.06064644
ATEZAC_clean,14.15960256,16.12996419,20.92376919
ATEZEG_clean,13.66743835,15.23504829,18.63488627
ATEZIK_clean,13.43798394,15.29717762,19.27343123
ATIBAG_clean,2.295644628,2.296570726,2.298969002
ATIBOU_clean,2.288202309,2.294306575,2.298667221
ATIBOU01_clean,2.305143523,2.311662936,2.346169682
ATIBOU02_clean,2.317934858,2.325306921,2.485999362
ATIBUA_clean,2.298106772,2.298458051,2.297808185
ATICAH_clean,2.297242946,2.297991808,2.298718316
ATICEL_clean,2.288623844,2.294550874,2.298055677
ATIJUJ_manual,1.203008195,1.992540653,4.914375905
ATIXUX_clean,2.068820492,2.150628476,2.237888183
ATOGEV_clean,5.175445497,5.409360756,6.17130432
ATOWIQ_clean,7.613071091,8.651312175,10.95538943
ATOWOW_clean,7.693148567,8.403478564,10.12001384
ATULIM_clean,0.404991466,0.55154984,0.89612056
ATUZEW_clean,11.56104795,11.58632938,11.68581686
AVAJUE_clean,14.85895225,18.51108847,34.11203698
AVAKAL_clean,14.95949267,18.79771898,33.88333435
AVAKEP_clean,13.26734571,16.56179096,29.43996093
AVAQIX_clean,5.494988404,5.53906168,5.596206363
AVAQIX01_clean,5.448899648,5.528449743,5.591969475
AVEHAM_clean,1.876588106,1.900216642,2.095682256
AVELOD_clean,3.164905545,4.666507078,8.185526098
AVELUJ_clean,2.955320216,4.309961828,8.144822665
AVEMAQ_clean,2.408417723,3.365211786,6.806695664
AVEQID_clean,16.82527092,17.57270612,18.87831409
AVESOL_clean,14.04966857,14.38278395,15.02193747
AVESUR_clean,9.762408581,9.991765185,10.57752981
AVETAY_clean,12.65532969,13.2424795,14.01025429
AVETEC_clean,10.64631382,10.78410191,11.4225057
AVIHIY_clean,3.539410863,4.296311611,5.172266485
AVIMIC_clean,1.577788308,1.861447016,2.292030949
AVIMOI_clean,5.813239125,6.01681835,6.688173024
AVIMUO_clean,5.798764841,5.969951717,6.171975593
AVIPAX_clean,11.75661904,12.01255256,12.74310259
AVIPOL_clean,11.65906253,12.28055583,13.04585957
AVITUU_clean,1.946690534,3.173019911,9.805193945
AVUCEA_clean,11.86990058,12.43760915,13.79952401
AVUDAX_clean,1.454834304,2.550971113,5.401274601
AWAGEL_clean,0.899179033,1.961605233,6.203849079
AWAGOV_clean,2.638873882,3.034237934,3.873671267
