Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar
IDIWUN_clean,0.0001978784,0.08666048,0.167773036,0.790887731,2.175511809
IDIXAU_clean,0.0001850547,0.090947274,0.179145616,0.824461455,2.274346158
IDORAW_clean,0.0002340083,0.09847943,0.19495552,0.869803016,2.287915935
IDUDIW_clean,0.0003573676,0.185808448,0.36610647,1.546475061,3.467784842
IDUTUW_clean,6.88647e-05,0.033803056,0.064490404,0.252045407,0.502408388
IDUYOX_clean,0.0003310285,0.171277705,0.327174217,1.346868923,3.180827439
IFAGON_clean,0.0002403549,0.118945793,0.236049695,1.08314509,2.742804476
IFASOZ_clean,0.0001205987,0.05987879,0.118386157,0.568710899,1.624029736
IFEHUY_clean,0.0001095061,0.060133319,0.119568278,0.573586821,1.568677133
IFENOY_clean,2.67666e-05,0.017167225,0.033863921,0.163268955,0.458274451
IFENOY01_SL,3.52192e-05,0.018233661,0.035820697,0.176787475,0.479327052
IFENOY02_SL,4.50805e-05,0.019502254,0.03970537,0.188912021,0.519962912
IFENOY03_SL,4.86024e-05,0.023056571,0.045159408,0.220321167,0.600945131
IFEPUG_SL,9.72049e-05,0.046455473,0.093692107,0.426689913,1.082881218
IFEPUG01_clean,7.08725e-05,0.041977442,0.081907738,0.380232136,0.955658944
IFEPUG02_clean,0.0001308677,0.06044186,0.119394207,0.525526769,1.204774948
IFEPUG03_clean,0.0001148067,0.054654532,0.107311546,0.475911835,1.103888413
IFEPUG04_clean,0.0001154016,0.054947795,0.108828422,0.488760667,1.121390189
IFEPUG05_clean,9.45817e-05,0.044202958,0.089007908,0.392252848,0.95303717
IFEPUG06_clean,0.0001100479,0.049535224,0.096930165,0.440527578,1.037351091
IFEPUG07_clean,9.69611e-05,0.0508671,0.100971599,0.462607345,1.104182866
IFEPUG08_clean,0.0001154016,0.054997762,0.112087624,0.510637589,1.198047751
IFEPUG09_clean,9.3307e-05,0.04506728,0.090510338,0.414139798,1.02508394
IFEPUG10_clean,0.000113702,0.053980903,0.108984614,0.509088591,1.200752974
IFEQAN_SL,0.0001049531,0.046679467,0.093038439,0.424288671,1.086009383
IFEQER_clean,0.0001287848,0.062972804,0.126968732,0.559156929,1.264949704
IFEQIV_SL,4.08542e-05,0.033466649,0.065745708,0.315608701,0.83645491
IFEYIB_clean,0.0001332312,0.073135331,0.144335228,0.649820113,1.639508708
IFOSIG_clean,3.57092e-05,0.02455457,0.048586893,0.237675385,0.671824826
IGAGAA_clean,0.0002260486,0.107785639,0.210825669,0.861663477,1.915859637
IGAGUU_clean,0.0002211303,0.122311096,0.240054875,1.097769078,3.025002958
IGAHAB_clean,0.0003492739,0.151644239,0.286714018,1.079820769,2.352574044
IGEXOH_clean,0.0002211912,0.1029808,0.203390705,0.921217644,2.310229195
IGINIX_clean,0.0002485409,0.125242032,0.245547138,1.043636907,2.408210193
IGINIX01_clean,0.0002530599,0.125486054,0.245002607,1.063201597,2.425099679
IGITOJ_clean,5.44122e-05,0.023975639,0.048560951,0.229201279,0.656477493
IGIZEF_clean,0.0002548499,0.121000003,0.232282511,0.783070776,1.359673091
IGOJEV_clean,0.0002287908,0.10688052,0.213062934,0.941245504,2.234709614
IGORUS_clean,0.0002856204,0.134189647,0.268667078,1.267901319,3.585068048
IGUVIR_clean,0.0002784289,0.148930822,0.280404558,0.973182851,1.753877129
IGUVIR01_clean,0.0003255162,0.145456602,0.273789824,1.000139276,1.894287206
