Adsorbent,O2_40C_0.001bar,O2_40C_0.5bar,O2_40C_1bar,O2_40C_5bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
LARVIM_clean,8.03329e-05,0.0381337336,0.0756979643,0.3706157645,8.008653329092796e-05,2.4135283103195016e-05,7.481673451294139e-05,4.067831959186318e-07,Sips,[5.76367435e+01 1.31509036e-03 9.90129005e-01]
LARXUA_clean,0.0002617698,0.1297146312,0.2544043089,1.2306927138,0.0008593340779806778,0.00027954444198092067,0.0008087506250631526,,Freundlich,[0.25473183 1.02179751]
LASDEQ_clean,0.0002190426,0.1086127912,0.2176615814,0.9878236824,0.0007014256329321174,0.0019464352305530834,0.0005973555105731117,1.7872597398024662e-05,Sips,[5.90007193 0.03830437 1.03030289]
LASMAV_neutral,0.0001407676,0.0713646523,0.1383019353,0.6215674586,0.0005309476245178405,0.00041605194556202204,0.0005435829984317239,1.9475721309428252e-05,Sips,[10.28615774  0.01362876  0.96405935]
LASRAB_clean,7.1161e-05,0.0393347806,0.0794889908,0.3894878606,0.00022266255220149543,0.0003070744875475935,0.00020497796793279727,1.9037522460955323e-06,Sips,[5.20402583 0.01551144 1.02620597]
LASREF_clean,7.41791e-05,0.0441792696,0.0881764633,0.4391717018,3.111637936377014e-05,1.0432683235725045e-05,3.0833128295185376e-05,,Freundlich,[0.08818452 1.00247906]
LASRIJ_clean,0.0001059843,0.0434318862,0.0855461947,0.4335528843,,0.00036943898449425905,0.0002930048508303934,,Quadratic,[0.00027098 0.0853075  0.0002349 ]
LASWEJ_clean,0.0001814314,0.0952377287,0.1876230795,0.8263467379,8.112017293604814e-05,0.0015338534886356074,1.3950181580358063e-05,3.843780853179239e-06,Sips,[5.30214911 0.03668438 1.00406352]
LASWIN_clean,0.0002579038,0.1203050379,0.2371248422,0.9562629785,0.0008248210229986521,0.0038438424780859177,0.0004578705721355841,2.7268821138720595e-05,Sips,[3.29472115 0.07755246 1.03302311]
LASYOU_clean,0.0002028986,0.098087191,0.1933719297,0.9059315038,0.00025236250013204435,0.0005429836632982224,0.0002583094624391903,5.013076166718239e-06,Sips,[1.62325484e+01 1.20562352e-02 9.87792524e-01]
LATCEO_clean,8.56941e-05,0.0467718275,0.0939129186,0.4572464588,0.00014941863200859497,0.0002938302760803191,0.00013575815222931258,6.248543881597874e-08,Sips,[7.46784737 0.0127358  1.01487765]
LATCIS_clean,6.49198e-05,0.0444245888,0.0872543156,0.4300414457,0.00031290366416731144,0.00021391488426810806,0.00029606123450665067,,Freundlich,[0.0875036  1.01084792]
LATPIG_clean,0.0001305707,0.0796405309,0.1562187236,0.6722872384,3.872536483819897e-05,0.0014653837341691552,7.509210241028612e-05,1.4988737299653933e-05,Sips,[3.78331392 0.04307005 1.0021542 ]
LATYOX_clean,9.01755e-05,0.0459751482,0.0915014684,0.4546524682,8.210094534794029e-05,4.102246380111523e-05,7.68350895550514e-05,,Freundlich,[0.09154919 1.0042351 ]
LAVCUJ_clean,1.97153e-05,0.0083358571,0.0164018617,0.0823383066,,6.061586683276763e-05,5.5799128440449566e-05,,Quadratic,[1.24956657e-05 1.63961339e-02 4.41158116e-05]
LAVDOE_clean,0.0001615142,0.064329662,0.1262815902,0.5612924016,8.245831025554798e-05,0.0008368796478963165,0.00012094950533699134,1.2970375318440104e-05,Sips,[4.37728119 0.02970623 0.99394035]
LAVMAY_clean,0.0002630201,0.113831324,0.2188640008,0.8657336544,0.0002848980535414115,0.0028353166302232673,0.0006196004239889168,4.561255552372913e-06,Sips,[3.57051102 0.06530038 0.98764903]
LAVTIN_clean,7.23426e-05,0.036078561,0.0732830699,0.3491829674,0.0003434466788515886,0.0005374944831153734,0.0003154576873761515,8.325847209649958e-06,Sips,[2.53357538 0.02978625 1.043974  ]
LAVTOT_clean,6.1213e-05,0.0365144716,0.0715561218,0.347042368,0.00025990567271797605,0.00010721903681061368,0.0002462930825095777,,Freundlich,[0.07168125 1.02044302]
LAVTUZ_clean,7.67232e-05,0.0441742866,0.0864926029,0.4178417677,0.0003209137137347159,0.0001149097139362494,0.0003042534854501337,,Freundlich,[0.08662673 1.02285615]
LAWFOF_clean,0.0001735029,0.0762671948,0.1542176718,0.7451217773,0.0005128137956498781,0.0008040796289720479,0.0004764227796237348,2.3253719890885997e-05,Sips,[7.46022265 0.02110827 1.03112014]
