,Adsorbent,CO2_20C_0.5bar,CO2_20C_1bar,CO2_20C_5bar
4403,TIGVUC_clean,3.999600778,4.420977409,5.552481643
4404,TIKMEH_clean,3.083029551,3.226680519,3.512452374
4405,TILHAZ_clean,7.317818211,7.793183555,8.436980774
4406,TILPUA_clean,4.753839816,5.041558809,5.647724809
4407,TILVOZ_clean,0.204148106,0.41305988,2.1250602
4408,TILVUF_clean,0.201557989,0.407527274,2.067380981
4409,TILWAM_clean,0.214718846,0.431513501,2.187599385
4410,TILWEQ_clean,0.214320311,0.422818041,2.191715478
4411,TIRKEM_clean,4.077954198,4.110137578,4.221487738
4412,TIRLIQ_clean,3.444684267,3.498439876,3.56507528
4413,TIRQOB_clean,7.91651483,8.042845258,8.355443651
4414,TIRRIW_clean,5.532908427,6.122816776,7.194083502
4415,TISGUY_clean,4.611030945,4.566870595,5.083013751
4416,TISHAF_clean,10.98906497,11.39574331,12.45486225
4417,TISPAO_clean,10.82640098,11.08456358,11.1395624
4418,TIVYAZ_clean,11.90340683,12.49279334,13.50490672
4419,TIVYAZ01_clean,14.74562251,15.25188116,16.80082814
4420,TIXCIO_clean,2.446493784,4.722276819,10.24441414
4421,TIXMET_clean,0.328246507,0.648309349,2.866578043
4422,TIXMIX_clean,5.973720875,6.18157406,6.715359307
4423,TIXVON_clean,8.785436048,9.417018068,10.54794061
4424,TOFLIL_clean,4.172272677,4.627634436,5.484555952
4425,TOFQEM_clean,0.507077089,0.960196581,2.748148795
4426,TOFTIT_clean,14.85116729,15.99708856,18.91142334
4427,TOHDAX_clean,0.999317691,1.039242726,1.126985715
4428,TOHDEB_clean,0.601258984,0.614419594,0.676651318
4429,TOHDIF_clean,1.088170481,1.417684334,1.958392114
4430,TOHQEO_clean,6.301014974,6.883159848,8.105450774
4431,TOHSAL_clean,15.25955486,16.83490733,21.71677629
4432,TOHYUL_clean,2.15139963,2.613361053,3.588305274
4433,TOHYUM_clean,5.293991303,5.823030981,6.687658357
4434,TOJLOT_clean,0.756328886,1.581093161,7.414197635
4435,TOKDON_clean,8.233959907,8.946725781,9.586103372
4436,TOLGOR_clean,5.689337993,6.148227666,6.735474725
4437,TOLYOJ_clean,8.460830013,9.188051184,10.86551091
4438,TONBOO_clean,4.136813341,4.248397635,4.377273379
4439,TONLOY_clean,0.472150421,1.009078242,2.638399992
4440,TONLOZ_clean,9.04180643,9.12039165,9.374174382
4441,TONQOD_clean,15.01173555,16.41815304,18.99662691
4442,TONTIB_clean,2.303147287,4.650075345,10.77759224
4443,TONTOH_clean,1.955730231,3.987506631,10.11155818
4444,TONTUN_clean,2.090984736,4.208838425,10.15280715
4445,TONVAV_clean,2.25294502,4.556692802,10.47864928
4446,TONWUO_clean,1.197107666,1.601361145,2.372777587
4447,TONWUO01_clean,0.289875138,0.520740437,1.552454386
4448,TOPKIT_clean,13.7852137,14.28937818,15.48528616
4449,TORXAB_clean,0.224169924,0.370992651,0.845944722
4450,TOTVEF_clean,0.078298375,0.133820038,0.314545127
4451,TOVHET_clean,10.24771317,10.51655324,11.83866652
4452,TOVHUJ_clean,13.73317123,14.5138786,17.28640779
4453,TOVJAR_clean,15.57098048,18.38732472,26.84872081
4454,TOVJEV_clean,15.29035353,18.20796486,28.2965281
4455,TOVJIZ_clean,15.76260923,18.22792726,26.16403005
4456,TOVJOF_clean,16.00563226,18.19119155,24.91822054
4457,TOVJUL_clean,15.68754943,16.00173714,16.92391816
4458,TOVKEW_clean,13.00905541,14.71282849,20.35126156
4459,TOVKIA_clean,14.94690549,15.85786087,17.7662924
4460,TOVKOG_clean,18.49270157,22.10667789,32.67596936
4461,TOWLIC_clean,12.37627727,12.55078936,12.58596482
4462,TOWNEA_clean,12.49110745,13.85897415,16.78231593
4463,TOWNOK_clean,10.13782491,10.69679196,11.72536328
4464,TOWNUQ_clean,9.649946138,10.15386897,11.40498991
4465,TOWPEC_clean,13.01044205,13.31294169,14.62631691
4466,TOWXEK_clean,7.192121807,7.75938622,9.045597201
4467,TOXHAR_clean,6.308256994,6.312157246,6.318308782
4468,TOXHEV_clean,7.845648158,8.162056165,8.508443979
4469,TOXMUQ_clean,6.539319986,7.224682377,8.863076665
4470,TOXNEB_clean,6.519718586,6.893307069,8.199845696
4471,TOXNIF_clean,6.341882262,6.817643031,8.091136537
4472,TUBCEA_clean,1.491769893,1.8104357,2.728169176
4473,TUBJAD_clean,2.3169995,2.423192831,2.836924665
4474,TUBLIN_clean,3.077698856,3.098709494,3.140575721
4475,TUCJAD_clean,5.917273547,6.013161983,6.382555683
4476,TUDQOZ_clean,1.035242337,1.238870776,1.745894319
4477,TUGTAR_clean,3.05981975,3.472413371,4.663184582
4478,TUJGAI_clean,1.37812519,1.657871555,2.265048425
4479,TUJGIQ_clean,1.681465014,2.484961321,4.14968659
4480,TUKCOT_clean,2.449722498,3.493160953,5.534642093
4481,TUMDAI_clean,3.545801206,3.932186001,4.832662416
4482,TUMQID_clean,3.313106662,3.693212697,4.913084798
4483,TUMRIE_clean,5.702676611,5.858153685,6.45187138
4484,TUMROK_clean,2.954435166,3.283148882,4.485614368
4485,TUNJET_clean,1.895277644,2.294591276,3.16599297
4486,TUPDOZ_clean,2.672978537,2.878386913,3.503895036
4487,TUPGIU_clean,4.295252998,4.911450436,7.133585982
4488,TURDIV_clean,1.756041588,2.397121029,4.729461001
4489,TURDOB_clean,1.961605521,2.520479861,4.509751071
4490,TURDUH_clean,2.062343885,2.664459124,4.696233965
4491,TURFAP_clean,1.978833037,2.725433507,4.752017392
4492,TURFET_clean,1.876189186,2.64413954,5.003277436
4493,TUTHIA_clean,6.657712057,7.172465272,7.720840326
4494,TUTHOG_clean,6.66262607,7.123214621,7.74850959
4495,TUTJAU_clean,5.931313093,6.474362057,7.670987172
4496,TUYFIE_clean,5.876526676,6.541683541,8.118392275
4497,TUYHOL_clean,2.064783584,2.392651725,2.894435505
4498,TUYHUR_clean,6.206450313,6.435687608,7.455741547
4499,TUYLIJ_clean,4.590725068,4.654459703,4.601438212
4500,TUYNEI_clean,7.683562293,7.867953218,8.287011108
4501,UBIBUF_clean,17.06248516,17.47988874,18.48293186
4502,UBIPAY_clean,6.204178347,6.213037408,6.265857136
4503,UBULIO_SL,16.48984837,18.62708982,24.97113579
4504,UBULUA_clean,1.081247819,1.94737246,5.309067772
4505,UBUMAH_clean,12.74673956,13.71902514,16.37396574
4506,UBUROY_clean,0.088233006,0.175511273,0.897652587
4507,UCABAE_clean,3.681414147,4.300614895,5.424693895
4508,UCAJUF_clean,8.201330781,9.108666984,12.03610899
4509,UCAXEC_clean,1.138212723,1.600811998,2.830770866
4510,UCEXIK_clean,4.201774622,4.592591835,5.673242153
4511,UCEXOQ_clean,4.082754649,4.476944877,5.502084482
4512,UCOCUM_neutral,13.2341136,13.23932649,13.30055588
4513,UCOHUR_clean,1.207902664,2.081069354,5.194995398
4514,UCOJAZ_clean,1.094393812,1.945856349,5.147842569
4515,UCOJED_clean,1.110271832,1.931395034,4.957827057
4516,UCOJIH_clean,1.030975212,1.865091676,5.401731579
4517,UCOXOZ_clean,4.0611678,4.396236377,5.399086538
4518,UCUTIW_clean,7.134560957,7.333307611,7.940441782
4519,UDANIY_clean,20.8718292,23.42192532,29.44431108
4520,UDAWOO_clean,0.644582692,1.30168911,4.123204953
4521,UDAWUU_clean,0.559675791,1.084366589,4.273635885
4522,UDAXAB_clean,0.873270046,1.699582742,4.032895328
4523,UDAXEF_clean,0.573975454,1.108288456,3.843520347
4524,UDAXIJ_clean,0.775785815,1.469283626,3.851783082
4525,UDEMEW_manual,14.54186947,14.76598944,15.56677987
4526,UDICAN_clean,1.128462389,1.162888,1.283669025
4527,UDOVOA_clean,4.864007769,5.303304085,6.11688124
4528,UFASEA_ion_b,1.754429524,1.739338186,1.781463167
4529,UFEMIC_clean,0.183381684,0.354296821,1.614505679
4530,UFENAW_clean,15.15847169,16.01939079,17.90011598
4531,UFEVIL_clean,1.035291226,1.924475826,4.946778482
4532,UFEXIN_clean,0.778490756,1.69213184,2.654544972
4533,UFEXOT_clean,0.708105322,1.628254607,2.63695097
4534,UFOFIF_clean,0.347657061,0.645149674,1.881514708
4535,UFUNIS_clean,1.175391553,1.517815954,2.187245915
4536,UFUQIV_clean,1.126475487,2.362932732,9.42262691
4537,UGOCAW_clean,6.41136738,6.77995926,7.988368778
4538,UGOFED_clean,5.974074641,6.248693687,6.906051926
4539,UGUGUZ_clean,6.659535918,6.789421142,6.87868923
4540,UGUHAG_clean,7.178279392,7.304109174,7.508030136
4541,UGUHEK_clean,6.821570772,6.924017811,6.99179646
4542,UHASED_clean,8.074527862,8.106556727,8.135765502
4543,UHAXUW_clean,2.197490978,2.267859534,2.672265933
4544,UHOHEG_clean,2.460447346,2.554954732,2.662225631
4545,UHUPET_clean,13.07301131,14.57382212,18.79485606
4546,UHUPOD01_clean,22.26846468,25.40152028,38.40933968
4547,UJAQEC_clean,7.29310588,7.598526197,8.291306948
4548,UJAQUS_clean,8.38228004,8.773964927,9.618987844
4549,UJEGUL_clean,3.980078747,4.149328749,4.634232019
4550,UJILAA_clean,0.095480172,0.19243356,0.990242878
4551,UJOWEW_clean,0.425624309,0.838114851,3.32836878
4552,UJULIW_clean,0.374813788,0.728368016,1.400249994
4553,UJUPUM_clean,0.504958586,1.046064435,5.214703903
4554,UJUQIB_clean,6.998429237,8.914307326,12.75373856
4555,UKAJOH_clean,2.501525058,2.696680912,3.047331656
4556,UKAZEM_clean,22.41982872,23.18345489,25.7187898
4557,UKEXEP_clean,3.036043491,3.289283415,4.275517797
