,Adsorbent,O2_10C_0.001bar,O2_10C_0.5bar,O2_10C_1bar,O2_10C_5bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
4571,ULAQEF_clean,0.0005709489,0.277364037,0.502307647,1.730159561,0.004723114436260148,0.006760162971977148,0.006665476506543535,0.00022232712873196603,Sips,[6.53732392 0.0832347  0.90975656]
4572,ULASAD_clean,0.0001666188,0.091441459,0.183288715,0.892023176,0.00022535127711076808,0.0005165881367111383,0.00020288705828863963,2.3141914487273554e-06,Sips,[1.61146234e+01 1.15049228e-02 1.01149346e+00]
4573,ULEGOH_clean,0.0002715306,0.129840525,0.248445419,0.773772759,0.0019014223022561204,0.008490012911818556,9.64434828272384e-05,4.623461750443762e-05,Sips,[1.42076927 0.2119245  1.07519695]
4574,ULILEI_clean,0.0003709228,0.18704091,0.357620237,1.298329772,0.0002629137434229526,0.00705152918175816,0.0008575153800127261,3.0979440184612626e-06,Sips,[3.69232681 0.10724192 1.00704867]
4575,ULIMIN_clean,0.0006624194,0.284683901,0.510720383,1.516244773,0.0022560415093012005,0.01313833437655012,0.006617646676148114,7.748555225383113e-05,Sips,[3.28001987 0.18442398 0.95641957]
4576,ULOGAE_clean,0.0002023816,0.085454919,0.170769835,0.762422614,0.0005319511049233588,0.0016787534730869204,0.00044018889197862014,2.8477034117944057e-05,Sips,[4.16319996 0.04277323 1.02929388]
4577,ULOJUC_clean,0.0002042351,0.110787318,0.217724804,0.925094697,0.00023079785458785313,0.0023749367396293975,4.4400730146885486e-05,4.593976402080328e-06,Sips,[4.53645749 0.05041408 1.01000503]
4578,ULOJUC01_clean,0.0002734757,0.127508766,0.248886883,1.016478293,0.00022504668764460975,0.00326178438788599,8.516611493690834e-05,1.205488659708538e-05,Sips,[4.19849636 0.06301547 1.00855296]
4579,ULOKAJ_clean,0.0001797214,0.088128641,0.176555501,0.801798218,0.0005534187868889312,0.0015573827924291427,0.00047099728349822193,1.5129253569965911e-05,Sips,[4.84934365 0.03778368 1.02947065]
4580,ULOKEN_clean,0.0001755192,0.09076718,0.178373187,0.810030123,0.0001905218483749212,0.0008801728225651121,0.00022750195654014182,9.889311164049549e-06,Sips,[8.37967355 0.02174942 0.9899969 ]
4581,ULOKOX_clean,0.0001974591,0.095535451,0.184927732,0.830706647,0.0007553770401120413,0.0005196378457207652,0.0007683531534631593,2.3245339827668177e-05,Sips,[1.46786724e+01 1.27592014e-02 9.61755432e-01]
4582,ULOKUD_clean,0.0002228704,0.099737704,0.199679175,0.887462117,0.0007294243934294625,0.0021170718796503308,0.000607130562922352,2.908984015709167e-05,Sips,[4.52583599 0.04615609 1.03439849]
4583,ULOKUD01_clean,0.0002560531,0.118527931,0.232692005,0.966670222,0.00036828554833430704,0.002960738938870904,0.00011523474736283753,1.6833214091478913e-05,Sips,[4.11809608 0.05988863 1.01496043]
4584,ULOLAK_clean,0.0002047724,0.100530434,0.197181164,0.872646588,0.0001357169826712319,0.0013504853846067959,0.00021227769058861066,3.885418276929198e-06,Sips,[6.59248179 0.03083222 0.99353355]
4585,ULOLEO_clean,0.0001876212,0.091555197,0.180781915,0.826781462,4.237435037021061e-05,0.0009535359541951274,8.064975473534659e-05,6.94766243997494e-08,Sips,[8.05063036 0.02297146 0.9978017 ]
4586,ULOLIS_clean,0.0001520719,0.08916352,0.180452097,0.813636129,0.0009992667176716512,0.0020717452277163864,0.0008745038008733657,1.0062732089302787e-05,Sips,[3.88583678 0.04869991 1.0521947 ]
4587,ULOMAL_clean,0.0002251454,0.088539433,0.175250052,0.796971416,8.491037293557395e-05,0.0010978204410735492,3.9464016495562125e-05,2.5230982335734838e-05,Sips,[6.59754013 0.02728767 1.00434314]
4588,ULUVUT_clean,0.0004081399,0.223941681,0.437258343,1.743475531,0.0007962730936826061,0.006713423178093384,8.098078884778711e-05,4.500739896596191e-06,Sips,[6.25725097 0.07513042 1.01729702]
4589,UMABIV_clean,0.0003275881,0.155318776,0.309925512,1.289321134,0.0015731351188530186,0.0049138869918811815,0.0011764885308540496,4.458004759649727e-05,Sips,[4.5686513  0.07277399 1.04811334]
4590,UMABOB_clean,0.0003439949,0.171521135,0.331545681,1.412042909,0.0008889396520485643,0.002427987325187438,0.0010861135478867653,3.218862625871972e-05,Sips,[9.90118251 0.03464571 0.97476966]
4591,UMEDEX_clean,0.0001992172,0.093728714,0.184914943,0.828167419,4.0904706131968294e-05,0.0012881468885429968,2.5103454748989553e-05,5.65225035949533e-06,Sips,[6.18350142 0.03082639 1.00205858]
4592,UMEDIB_clean,0.0002113207,0.09210621,0.179156523,0.808742178,0.0005655864888114789,0.0006026343450628049,0.0005790980356288898,5.88887726744716e-06,Sips,[12.02484896  0.01512421  0.97042115]
4593,UMEDOH_clean,0.0001814651,0.092409147,0.184465225,0.832384511,0.00047024953665361017,0.001598683532621422,0.00038312520365954436,9.651899856675835e-06,Sips,[5.10518255 0.03748742 1.02397258]
