Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar,RMSE_Freundlich-Langmuir,best_model,best_params
acs.inorgchem.6b01416_ic6b01416_si_004_clean,0.0002780435,0.13614562,0.26658232,1.032099239,2.147291955,0.0010621743710397488,Freundlich–Langmuir,[1.85823888 0.1552839  0.58281134]
acs.inorgchem.6b01569_ic6b01569_si_002_clean,8.97462e-05,0.031084815,0.063050773,0.300324725,0.778437999,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.0002993619,0.181103384,0.352944158,1.693314173,4.814686744,0.0012371909144945775,Freundlich–Langmuir,[1.0801448  0.3345196  0.06597787]
acs.inorgchem.6b01762_ic6b01762_si_002_clean,2.99799e-05,0.01574715,0.031024614,0.145875417,0.377381968,4.3801931694070415e-05,Freundlich–Langmuir,[3.28270335 0.00962019 1.68643309]
acs.inorgchem.6b02407_ic6b02407_si_002_clean,0.0005807688,0.269642305,0.521971169,2.180705053,4.767952902,0.0006777227001530745,Freundlich–Langmuir,[6.96053514 0.07924637 0.70367822]
acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.0005107966,0.249316564,0.48048702,1.889470512,3.757163363,0.00017087654020019863,Freundlich–Langmuir,[5.97794524 0.08643103 0.8709155 ]
acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.0001305447,0.064328849,0.127997855,0.572936787,1.448135497,0.0002951023230164377,Freundlich–Langmuir,[1.15234434 0.11459815 0.31316964]
acs.inorgchem.6b02696_ic6b02696_si_002_clean,0.0003426609,0.164673049,0.322741503,1.413214804,3.466305083,4.0391690560515055e-05,Freundlich–Langmuir,[2.50118626 0.13469775 0.34105344]
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,0.0001685024,0.072660003,0.14425578,0.649406423,1.575713704,0.00019152333498984045,Freundlich–Langmuir,[4.19278475 0.03533069 0.80825563]
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,0.0001417874,0.071609482,0.141741632,0.702057873,2.017089986,,Freundlich–Langmuir,"[nan, nan, nan]"
acscombsci.5b00188_24205_clean,0.0004498268,0.215882426,0.419198068,1.624438105,3.268040453,0.0007990614525000507,Freundlich–Langmuir,[3.89687033 0.11623228 0.72517804]
acscombsci.5b00188_3001288_clean,0.0004397252,0.182066236,0.364842029,1.811897839,5.186559189,,Freundlich–Langmuir,"[nan, nan, nan]"
acscombsci.5b00188_34903_clean,0.0011095929,0.48879992,0.88423405,2.423953643,3.600257312,0.0026854374252621104,Freundlich–Langmuir,[3.46577616 0.32480382 0.87304819]
acscombsci.5b00188_5013797_clean,0.0002832689,0.11764722,0.234107543,1.098233342,2.998046721,0.00023019965833251691,Freundlich–Langmuir,[1.72408364 0.13843157 0.15786496]
acscombsci.5b00188_5020072_clean,0.0002915791,0.119835532,0.241403182,1.168201182,3.255702616,0.0005315560483566852,Freundlich–Langmuir,[6.99670432e+01 3.46795597e-03 2.19825287e+00]
acscombsci.5b00188_5024922_clean,0.0003018877,0.142376648,0.28129531,1.36634378,3.879440047,0.00044371196697230286,Freundlich–Langmuir,[3.96282634 0.07175665 0.12981161]
acscombsci.5b00188_5036495_clean,0.0003649404,0.139190022,0.28607855,1.401423432,3.96695474,,Freundlich–Langmuir,"[nan, nan, nan]"
acscombsci.5b00188_5040209_clean,0.0005965835,0.293410049,0.549895519,1.821078629,3.452716263,0.0019130512811266515,Freundlich–Langmuir,[1.71834322 0.38003328 0.5481955 ]
acscombsci.5b00188_8372_clean,0.000677334,0.322700449,0.535160064,1.579544732,2.998646451,0.00432452238830573,Freundlich–Langmuir,[0.58704081 1.36143744 0.45217576]
ACUBAB_clean,0.0001419132,0.065659435,0.129699674,0.519081831,1.082470351,0.0005284616349342191,Freundlich–Langmuir,[1.46018661 0.09444235 0.7339339 ]
ACUFEK_clean,0.0002927738,0.149976294,0.300754788,1.393778834,3.798932962,0.0009197294389367185,Freundlich–Langmuir,[1.43772783 0.21393363 0.13519535]
ACUJOZ_manual,0.0002073327,0.106628693,0.214058376,1.016518118,2.841753249,0.0005021649014076136,Freundlich–Langmuir,[1.36605756 0.15884051 0.11135645]
ACUTOI_clean,8.35786e-05,0.039152534,0.076553512,0.327168015,0.755094088,1.0878636537573017e-05,Freundlich–Langmuir,[0.85251103 0.09416843 0.52996173]
ADARAA_clean,0.0003367207,0.175855213,0.343690351,1.500736842,3.642867038,0.0001399810111287303,Freundlich–Langmuir,[2.91474522 0.12320771 0.37373993]
ADASEF_clean,0.0002985219,0.169896865,0.342257721,1.548949555,3.993967068,0.0014871998378296228,Freundlich–Langmuir,[3.17348589 0.11050666 0.28177973]
ADASIJ_clean,0.0002643836,0.139962434,0.27501436,1.26561516,3.470664583,2.561966098251556e-05,Freundlich–Langmuir,[0.645113   0.44287449 0.10369986]
ADASOP_clean,0.0003379513,0.170261314,0.338054115,1.477537604,3.801786378,0.0012078249147208977,Freundlich–Langmuir,[1.1072577  0.32051988 0.19137002]
ADASUV_clean,0.0002471122,0.135494938,0.272774985,1.266011115,3.369135088,0.0009274234417031814,Freundlich–Langmuir,[3.16201245 0.0877594  0.25172012]
ADATAC_clean,0.0004030375,0.200626695,0.394009462,1.833406851,4.802874318,0.0006233477778039715,Freundlich–Langmuir,[6.37263099 0.06326902 0.34538629]
ADATEG_manual,0.0003446145,0.174142304,0.347974454,1.67887551,4.9899485,,Freundlich–Langmuir,"[nan, nan, nan]"
ADATIK_clean,0.0003409704,0.158430369,0.309247171,1.481231365,3.994118198,0.001145269924979111,Freundlich–Langmuir,[1.94605253e+01 1.61550154e-02 7.65446483e-01]
ADAXEK_clean,0.00037663,0.175443906,0.336214569,1.207320431,2.347210948,0.0009858926917188414,Freundlich–Langmuir,[1.74396032 0.21639949 0.60883309]
ADAXIO_clean,0.0001905047,0.09381701,0.18306519,0.747893645,1.655926221,0.0002604908022501539,Freundlich–Langmuir,[1.43857701 0.13559535 0.51291662]
ADIQEL_clean,0.0009579589,0.41736118,0.756367189,2.395421152,3.832441587,0.0032658847099395565,Freundlich–Langmuir,[4.51163471 0.19876794 0.90874143]
ADOBIF_clean,0.0003742057,0.144986292,0.262480737,0.832176657,1.659056156,0.0009091603136676588,Freundlich–Langmuir,[0.37474382 0.91634141 0.42102929]
ADOCEC_clean,0.0001599582,0.07707766,0.149253633,0.623429799,1.436227885,9.626410033598994e-05,Freundlich–Langmuir,[1.02632076 0.15462505 0.42112648]
ADOGEH_clean,0.0005733936,0.243684493,0.447376312,1.542368691,3.291897982,0.0006879724461964586,Freundlich–Langmuir,[0.64967239 0.85476316 0.35350307]
ADUROI_clean,0.0002244426,0.101628041,0.200533882,0.968329697,2.845945141,,Freundlich–Langmuir,"[nan, nan, nan]"
ADUWIH_clean,0.0002151797,0.113406389,0.226823469,1.063529047,2.982405453,0.0005721127040650841,Freundlich–Langmuir,[0.57445593 0.40433204 0.07951906]
ADUWON_clean,0.0003829315,0.164124425,0.325556547,1.556145097,4.119470636,,Freundlich–Langmuir,"[nan, nan, nan]"
AFEJOK_ion_b,0.0005160813,0.246634943,0.469080802,1.92541173,3.929500643,0.002146804239322856,Freundlich–Langmuir,[9.22689511 0.05412201 1.08548421]
AFITEP_clean,0.0005994946,0.296543984,0.566931478,2.078560928,3.812366159,0.0002752398216177768,Freundlich–Langmuir,[5.45584427 0.11448692 0.89951716]
AFITUF_clean,0.0001491977,0.114062535,0.21930583,0.882863361,1.930043082,0.00019032895135823289,Freundlich–Langmuir,[1.4963042  0.15788383 0.50033903]
AFIXAO_clean,0.0002287574,0.109308279,0.20975113,0.853858644,1.90106802,0.0003252280325548953,Freundlich–Langmuir,[1.37325425 0.16421525 0.46388536]
AFIXES_clean,0.0002373898,0.108659774,0.211039509,0.849890997,1.905233132,0.00031311008184987493,Freundlich–Langmuir,[1.14167726 0.19917163 0.42102708]
AFOVEX_clean,0.0002393761,0.127152422,0.248432843,1.08900098,2.684284494,0.00011465277728216872,Freundlich–Langmuir,[1.78161754 0.14575449 0.32128462]
AFOYAW_clean,0.000310185,0.163575948,0.321823849,1.395850556,3.224425724,0.00023048311812320834,Freundlich–Langmuir,[5.44127222 0.06153606 0.67773567]
AFOYEB_clean,1.90096e-05,0.009573725,0.019223489,0.092907195,0.243938712,,Freundlich–Langmuir,"[nan, nan, nan]"
AFOYIE_clean,0.0002379811,0.126979941,0.248480649,1.195727774,3.29401888,0.0008136832854771542,Freundlich–Langmuir,[6.58752927 0.03829961 0.3057805 ]
AFOYOK_clean,0.0002605384,0.122161519,0.244044192,1.118881385,2.87525372,0.0005290333928515742,Freundlich–Langmuir,[3.95970981 0.06297933 0.39562603]
AFUKET_clean,0.0003751481,0.17755047,0.327912004,1.204346355,2.629011615,0.0007488611437763935,Freundlich–Langmuir,[0.69187105 0.55526898 0.35142386]
AFUKIX_clean,0.0002416538,0.120803661,0.239915745,1.072545509,2.819765174,0.0006427688936754022,Freundlich–Langmuir,[0.86020828 0.29019277 0.16905232]
AGABIU_clean,0.0001866618,0.067004415,0.13399806,0.667398573,1.854162125,,Freundlich–Langmuir,"[nan, nan, nan]"
AGIREP_clean,0.0002211558,0.106099707,0.212975484,0.980480958,2.561919236,0.0006469565901475306,Freundlich–Langmuir,[2.76996175 0.07842293 0.30925236]
AGOFEJ_clean,0.0002324342,0.125866038,0.249718615,1.167217854,3.157058201,0.00011971311773831077,Freundlich–Langmuir,[2.03493986 0.12529978 0.18137954]
AGONAM_clean,9.02588e-05,0.047361518,0.094435068,0.434018786,1.077019663,0.00014396480716707483,Freundlich–Langmuir,[7.3737442  0.01305978 1.64095208]
AGONEQ_clean,0.0001340885,0.077018532,0.151640711,0.720105174,1.917638281,0.0002673780968690518,Freundlich–Langmuir,[8.08600822 0.01905653 0.74276784]
AGUBUA_clean,0.0021831074,0.851294956,1.398866752,2.926626046,3.856635827,0.004145164001888221,Freundlich–Langmuir,[3.03732832 0.74378944 0.87007659]
AHAMAY_clean,0.000118193,0.058556775,0.11192586,0.397531476,0.709966914,0.00018886186923027575,Freundlich–Langmuir,[0.93991767 0.13267518 0.88447109]
AHEQAH_clean,0.0002649092,0.144054855,0.285932342,1.311242635,3.642053538,0.0007575993999748777,Freundlich–Langmuir,[0.36980822 0.80801929 0.08063501]
AHIYOH_clean,0.0002720634,0.135496261,0.253589158,0.907021973,1.669261891,0.0006081775754392839,Freundlich–Langmuir,[1.77280713 0.16084966 0.76654223]
AHOKIR_clean,0.0002123049,0.094415627,0.183436779,0.753457159,1.601305284,1.9099963832656764e-05,Freundlich–Langmuir,[2.49122418 0.07804983 0.77360276]
AHOKIR01_clean,0.0003713014,0.169774066,0.323956265,1.121064947,1.964958998,0.0007906993707421404,Freundlich–Langmuir,[2.4232273  0.15050874 0.867019  ]
AHOKOX_clean,0.0002225094,0.101214891,0.198874806,0.866389698,1.967007332,3.6638429085961915e-05,Freundlich–Langmuir,[5.39948349 0.038234   1.00110603]
AJAKON_clean,0.0002564519,0.124603752,0.239472955,0.997675249,2.117055888,0.0006785596920036268,Freundlich–Langmuir,[4.26302774 0.05942926 0.91793326]
AJAYIT_clean,3.70602e-05,0.013775824,0.027524117,0.132313559,0.348307041,,Freundlich–Langmuir,"[nan, nan, nan]"
AJIGIL_clean,8.45867e-05,0.047309047,0.093026609,0.427531633,1.115198798,7.837477326429329e-05,Freundlich–Langmuir,[0.93902107 0.10180869 0.27121592]
AJOTEY_clean,0.0002283517,0.11517092,0.227313263,1.005254097,2.500844255,0.00026345701814146986,Freundlich–Langmuir,[1.8502816  0.12756497 0.32508719]
AJOVEB_clean,0.0001924169,0.094970724,0.186486116,0.71597498,1.40239354,0.0007839289441790526,Freundlich–Langmuir,[2.0067279  0.10011903 0.83421988]
AKEDIF_clean,0.0003600068,0.20020515,0.391930679,1.632545837,3.564186807,0.00039336586406526667,Freundlich–Langmuir,[5.29033977 0.07807141 0.71317228]
AKOBAF_clean,0.0002768539,0.146974479,0.289212687,1.092368374,2.182851814,0.0016301864021752428,Freundlich–Langmuir,[2.15812148 0.14567529 0.66490504]
AKOXIJ_clean,0.0020003861,0.648543,1.034988154,2.486202719,3.792426896,0.008487721400996353,Freundlich–Langmuir,[1.76030531 0.94298163 0.69235954]
AKUKUO_clean,0.0002877812,0.145895388,0.276938178,1.056071851,2.046334526,0.0006051699100097898,Freundlich–Langmuir,[2.69443036 0.11229263 0.80665845]
ALAMUW_clean,0.0003558367,0.168922562,0.330790817,1.427385971,3.679601478,0.0006791931277802158,Freundlich–Langmuir,[0.713791   0.49512599 0.17131287]
ALANAD_clean,0.0002747084,0.15148071,0.293835515,1.336146558,3.602017961,0.0006363132657825108,Freundlich–Langmuir,[0.72235517 0.42634189 0.12434962]
ALEJEI_clean,0.0002589686,0.150847554,0.301315063,1.381863413,3.742645117,0.000852018654763595,Freundlich–Langmuir,[1.12573033 0.27548077 0.13295595]
ALEJIM_clean,0.0004279198,0.161609928,0.322832054,1.475220061,3.877896101,0.0008155037515944162,Freundlich–Langmuir,[2.46088859 0.13453718 0.22393927]
ALICAA_clean,0.0001227714,0.054862783,0.108616199,0.458836028,1.100477581,0.00039141851241056747,Freundlich–Langmuir,[0.58484547 0.19597507 0.32538706]
ALIXAU_clean_h,0.0001278434,0.048450814,0.094374404,0.42974853,1.003780435,,Freundlich–Langmuir,"[nan, nan, nan]"
ALIXOJ_clean,0.0002168117,0.109218332,0.214941397,0.959759568,2.429701089,7.524075869917647e-05,Freundlich–Langmuir,[1.60410302 0.13897191 0.28352199]
ALIXUP_clean,3.87241e-05,0.018694048,0.037255328,0.186008339,0.531658069,,Freundlich–Langmuir,"[nan, nan, nan]"
ALOLES_ion_b,1.56444e-05,0.005027857,0.010070155,0.047578112,0.134054124,2.4060751263072673e-05,Freundlich–Langmuir,[0.03101345 0.33098298 0.07757638]
ALOLIY_clean,1.72041e-05,0.011299675,0.023137839,0.11312578,0.329209697,0.00011876755288896951,Freundlich–Langmuir,[0.38442674 0.06011077 0.08019432]
ALONEV_clean,5.33096e-05,0.024017589,0.048330013,0.226633089,0.596121659,0.00013694277700279861,Freundlich–Langmuir,[1.99254509 0.02456992 0.66467235]
ALUJIB_clean,0.0002069288,0.091995914,0.181926107,0.746713337,1.701015522,0.0007502952715793348,Freundlich–Langmuir,[1.1660451  0.16572968 0.42686963]
ALUKIC_clean,0.0001872282,0.125664696,0.248408632,1.201270615,3.45538884,0.0002644904378360334,Freundlich–Langmuir,[0.85231126 0.29591707 0.05351773]
ALULEZ_clean,0.0001970738,0.106038039,0.208744299,1.032463651,2.883399563,,Freundlich–Langmuir,"[nan, nan, nan]"
ALULID_clean,0.0002160326,0.106325462,0.208874675,0.971927576,2.543731465,0.0003195943422532149,Freundlich–Langmuir,[3.49804736 0.06109289 0.35554558]
ALURAB_clean,0.000156037,0.088682309,0.176073189,0.787308259,1.985678924,0.00033806280781894366,Freundlich–Langmuir,[1.57846757 0.11519584 0.31630142]
ALUREF_clean,0.0001737973,0.091966698,0.179148261,0.80728734,2.009500575,0.0003989830730519945,Freundlich–Langmuir,[2.36548749 0.07836479 0.41784327]
ALURIJ_clean,0.0001789501,0.093545219,0.185025532,0.811118671,2.016348946,0.000369132766237933,Freundlich–Langmuir,[1.23230778 0.15641966 0.29841267]
am301365h_si_002_clean,0.0001882666,0.099023717,0.196253231,0.93722537,2.455291892,,Freundlich–Langmuir,"[nan, nan, nan]"
AMAFOK_clean,0.0001808651,0.085335433,0.163693361,0.662028972,1.374619449,0.00034730035671517946,Freundlich–Langmuir,[2.04788117 0.08545814 0.78418415]
AMAGAX_clean,0.0001572293,0.077208836,0.151967586,0.640381496,1.456405779,0.00029027354925848187,Freundlich–Langmuir,[1.57717962 0.10126087 0.53869648]
AMILOY_clean,0.0002651263,0.140637609,0.26669476,0.939983109,1.989494676,0.0012999277751383565,Freundlich–Langmuir,[0.56464624 0.5564688  0.38589122]
AMILUE_clean,0.0002815106,0.139839252,0.265538928,0.919350917,1.934345418,0.0017123361160479556,Freundlich–Langmuir,[0.51104494 0.6201773  0.38555284]
AMIMAL_clean,0.0003291737,0.144075315,0.268791939,0.917119685,1.923485664,0.0011987965106844852,Freundlich–Langmuir,[0.44999657 0.73089211 0.37952802]
AMIMEP_clean,0.000342579,0.142903099,0.262351454,0.921272338,1.907070173,0.000489998128390784,Freundlich–Langmuir,[0.61236974 0.50994354 0.41650811]
AMIZIG_clean,4.40773e-05,0.024257227,0.048830906,0.226347285,0.569680336,0.00015263566881887756,Freundlich–Langmuir,[1.26526215e+01 3.91634063e-03 4.65972504e+00]
AMOYOR_clean,0.0003244562,0.14856251,0.278192768,1.026055149,1.953776995,0.0009529082121736259,Freundlich–Langmuir,[2.05594706 0.15060033 0.73292329]
AMUFOF_clean,0.0001108577,0.055208806,0.108422174,0.477143229,1.092198455,2.7347590873799264e-05,Freundlich–Langmuir,[3.87600696 0.02895543 1.19951994]
AMUPOP_clean,0.0003423052,0.163616885,0.30302097,0.964040852,1.621518187,0.0002215458496457231,Freundlich–Langmuir,[1.47979068 0.24242584 0.78199595]
AMUWUB_clean,6.78675e-05,0.041457682,0.083912314,0.408946155,1.110508888,,Freundlich–Langmuir,"[nan, nan, nan]"
AMUXAI_clean,7.52249e-05,0.035877997,0.069514291,0.337987795,0.926375767,,Freundlich–Langmuir,"[nan, nan, nan]"
ANEHEI_clean,0.000191414,0.104414447,0.205806466,0.859198304,1.947674263,0.0005313293957333889,Freundlich–Langmuir,[1.86195564 0.11653396 0.50794586]
ANIDIL_clean,7.21421e-05,0.028348855,0.054992751,0.239146384,0.581627967,8.927851799114799e-05,Freundlich–Langmuir,[0.39228918 0.14720824 0.34169607]
ANOMOG_clean,0.0003198138,0.189131514,0.362671447,1.474336148,3.638703523,0.0005447476838635002,Freundlich–Langmuir,[0.55257396 0.73387442 0.20672885]
ANOMUM_clean,0.0003019745,0.161588323,0.320612766,1.395952843,3.504298487,0.0010010630344268107,Freundlich–Langmuir,[1.55171078 0.21614732 0.25024514]
ANONAT_manual,0.0002613241,0.142006435,0.280769547,1.268987063,3.241740328,0.00021400551039566908,Freundlich–Langmuir,[2.63017719 0.11004148 0.29964624]
ANUGEW_clean,0.0002508918,0.138040324,0.272819054,1.310835753,3.841400885,,Freundlich–Langmuir,"[nan, nan, nan]"
ANUGIA_clean,0.0002958992,0.147041245,0.294168507,1.396076384,3.904843761,0.0005114201614577054,Freundlich–Langmuir,[1.66685451 0.17919291 0.10534357]
ANUGOG_clean,0.0003277255,0.156596036,0.310263186,1.468587165,4.147431193,0.00010169633960640902,Freundlich–Langmuir,[0.79345701 0.40036059 0.07130889]
APACAX_clean,0.0007731352,0.330756445,0.636903785,2.400889688,4.863364202,0.0011513779748807192,Freundlich–Langmuir,[3.91743752 0.17877121 0.590876  ]
APARAM_clean,0.0003779559,0.164862066,0.312610226,1.046295864,2.097565432,0.0021686621189112637,Freundlich–Langmuir,[0.70648398 0.53072129 0.44979303]
APEBED_clean,0.000464336,0.21041349,0.383989658,1.190606151,1.910010024,0.0006083994190432179,Freundlich–Langmuir,[2.0060142  0.2291201  0.86149857]
APEBEE_clean,0.0005154529,0.237730707,0.442786806,1.543104799,2.715354802,0.001165009966501455,Freundlich–Langmuir,[3.26413651 0.15374936 0.85271466]
APEBII_clean,0.0017020489,0.505038947,0.762359414,1.873084838,3.51291787,0.006046770401952178,Freundlich–Langmuir,[4.57453284e-02 1.39904504e+02 4.32527160e-01]
APEBUU_clean,0.0002139966,0.089066532,0.175417717,0.703849098,1.531099142,0.0006794292104119144,Freundlich–Langmuir,[1.30874515 0.14320399 0.5298732 ]
APUPEH_clean,0.0004249984,0.180270159,0.355946288,1.670972322,4.496260565,0.0002482365300017724,Freundlich–Langmuir,[4.1376467  0.08776669 0.22838662]
AQEGUY_clean,0.0009701874,0.319833714,0.535917323,1.33424273,2.274037236,0.0032916608623060474,Freundlich–Langmuir,[0.57354286 1.56000418 0.55576375]
AQEQES_clean,0.0001190919,0.079575879,0.157801301,0.728276363,1.862835969,7.536963309039871e-05,Freundlich–Langmuir,[3.95913984 0.04071562 0.54717626]
AQEQIW_clean,0.0001628668,0.086807986,0.170255194,0.778338068,1.967426116,0.0002349098165953859,Freundlich–Langmuir,[3.05843019 0.05721967 0.46536521]
AQERUL_clean,0.0025214953,0.829008022,1.253729768,2.19510895,2.699731478,0.0037158283686347287,Freundlich–Langmuir,[2.05116175 1.2554615  0.89080712]
AQIQAU_clean,0.0002507606,0.126902357,0.253602256,1.186427745,3.121649385,0.0004050251888789622,Freundlich–Langmuir,[6.81868259 0.03778424 0.47547059]
AQIXUU_clean,0.0001910309,0.105029041,0.198641772,0.691743124,1.208780268,6.854383152843949e-05,Freundlich–Langmuir,[1.56913799 0.14252003 0.89258681]
AQIXUV_clean,0.0001195628,0.044338343,0.089363476,0.422468274,1.119764203,0.0002586291508756943,Freundlich–Langmuir,[9.52061287e+00 9.48255045e-03 1.42935611e+00]
AQOLEZ_clean,0.0004569774,0.198846352,0.388100259,1.649727013,3.9022602,0.00013464435776759946,Freundlich–Langmuir,[2.68785049 0.15235148 0.38141278]
AQOLID_clean,0.0003373766,0.167827979,0.324598441,1.320366819,2.960936343,4.282561857863948e-05,Freundlich–Langmuir,[1.99482531 0.17468653 0.44175219]
AQOLOJ_clean,0.0010110129,0.481366394,0.855442873,2.800015572,5.596843218,0.002759953554865991,Freundlich–Langmuir,[1.44462023 0.75714243 0.42775144]
AQOLUP_clean,0.0003989646,0.193452377,0.382278417,1.608412543,3.830149512,0.0012818224023132092,Freundlich–Langmuir,[2.09954445 0.19243574 0.33802612]
AQOMAW_clean,0.000291731,0.144893943,0.277552826,1.179124939,2.762399012,0.0009406318717294136,Freundlich–Langmuir,[1.98769815 0.14821043 0.40141743]
AQOMEA_clean,0.000320412,0.17802092,0.352515241,1.522535919,3.747171067,0.001005323320084246,Freundlich–Langmuir,[1.98887239 0.18567988 0.29365812]
AQOMEA01_clean,0.0003431509,0.18571701,0.363868162,1.558814829,3.770306882,0.00036407184325141503,Freundlich–Langmuir,[2.16036354 0.17739199 0.32501853]
AQUCOF_clean,0.0001212304,0.064822029,0.131338497,0.618199748,1.699923199,0.0005647373343478095,Freundlich–Langmuir,[1.13219895 0.11744356 0.15734219]
AQUCOG_clean,6.77757e-05,0.037954403,0.07516684,0.36761015,1.064829675,9.204916312689657e-05,Freundlich–Langmuir,[0.5183215  0.1463719  0.05721513]
