Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar,RMSE_Freundlich-Langmuir,best_model,best_params
EWECOY_clean,0.0001173585,0.050316493,0.101662711,0.483212094,,Freundlich–Langmuir,"[nan, nan, nan]"
EWESAC_clean,0.000293124,0.136741509,0.248855455,0.879108144,1.0289001955256714e-05,Freundlich–Langmuir,[0.2743363  1.14388842 0.30410315]
EWIPIL_clean,0.0003000612,0.150446186,0.291896537,1.247292907,5.7762881264416e-06,Freundlich–Langmuir,[0.92472665 0.3370047  0.22532071]
EWUCOP_clean,0.0003381819,0.152029995,0.303328829,1.315579336,,Freundlich–Langmuir,"[nan, nan, nan]"
EWUGEK_clean,6.72752e-05,0.031650236,0.060022171,0.237999517,2.2507218366951524e-07,Freundlich–Langmuir,[0.10826448 0.62565187 0.24881598]
EWUKAK_clean,0.0001310518,0.07769609,0.153362138,0.709684694,1.3293661797877221e-05,Freundlich–Langmuir,[0.79907432 0.19728265 0.15291944]
EWUKEO_clean,0.0002193202,0.096362877,0.193421529,0.868122376,,Freundlich–Langmuir,"[nan, nan, nan]"
EWUKIS_clean,0.0002130349,0.099278015,0.194129015,0.884229512,4.2432238279729635e-06,Freundlich–Langmuir,[0.27152127 0.75339602 0.09322932]
EWUSUL_clean,8.97225e-05,0.046027664,0.090957659,0.447942657,,Freundlich–Langmuir,"[nan, nan, nan]"
EWUTEW_clean,0.0002255089,0.110219462,0.212599373,0.890006601,2.2977260439114373e-06,Freundlich–Langmuir,[0.55887457 0.41176686 0.22972124]
EXALAR_clean,0.0001175335,0.090479628,0.181485806,0.842595208,,Freundlich–Langmuir,"[nan, nan, nan]"
EXAPEA_clean,0.0001621362,0.100578518,0.187955943,0.5976282,2.6914926675356076e-05,Freundlich–Langmuir,[2.16462525 0.09978484 1.46197918]
EXAXAE_clean,0.0001553429,0.069624671,0.138455229,0.56398531,,Freundlich–Langmuir,"[nan, nan, nan]"
EXAXAE01_clean,0.0001503719,0.066184759,0.128939547,0.548145309,7.110397699086996e-06,Freundlich–Langmuir,[0.8732063  0.15593026 0.37598256]
EXEMUR_clean,6.7511e-05,0.028168974,0.054452702,0.250800069,1.6109804915555973e-06,Freundlich–Langmuir,[2.68604764e-03 2.39701413e+01 5.20718837e-02]
EXEQAA_clean,0.0001234181,0.071915719,0.142577202,0.662512918,,Freundlich–Langmuir,"[nan, nan, nan]"
