Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
BEPVOJ01_clean,0.0001756405,0.08958484,0.177339407,0.661786971,1.302067014,0.004078363428479381,0.02903866161354105,0.009373686719362723,0.0018013353902865833,Sips,[2.68250016 0.06968212 0.96204276]
BEPWEA_clean,8.5212e-06,0.00837349,0.016555253,0.082100251,0.236805305,5.755247152198245e-05,0.0003773401710995,4.7895801015855216e-05,4.081382266166452e-05,Sips,[3.71530824 0.00449098 1.00388358]
BERQIA_clean,0.0005784941,0.261047575,0.471241507,1.616200624,3.187419109,0.03178777697243788,0.05277683651684772,0.03790094084958212,0.0015281236592957932,Sips,[8.11118622 0.06136993 0.86997625]
BETDAH_clean,0.0003932386,0.182719755,0.358343641,1.463440841,3.123652578,0.003950920383294537,0.05347634140051445,0.011218835419181554,0.0012532759382834352,Sips,[7.51553144 0.04980762 0.98181823]
BETFOX_clean,0.0004151311,0.194734207,0.36024438,1.200709988,2.154190559,0.014753017996434734,0.058686663552215385,0.029248577429639856,0.0017388393956683705,Sips,[3.95058728 0.09954884 0.91897673]
BETFUD_clean,0.0003908961,0.185539177,0.371580273,1.485289497,3.255294754,0.00994918868624536,0.045738954634652586,0.014849410103370136,0.0039610609062912545,Sips,[9.03932827 0.04219077 0.95665996]
BETGEO_clean,0.0002070863,0.107655269,0.209051109,0.836087333,1.8897348,0.007896347298775565,0.02045566401540749,0.008977134175286719,0.0014001568679670154,Sips,[6.36240665 0.03363676 0.93445817]
BETGIS_clean,0.0001791172,0.076734034,0.152842337,0.668248478,1.64036571,0.002773159759823659,0.012688439639619225,0.003307334491411892,0.0008497175680706127,Sips,[6.92351017 0.02239437 0.97093128]
BETGOY_clean,0.0002110194,0.099424645,0.195985821,0.846513717,2.042869383,0.003956505254542945,0.017306389721675176,0.004729228082547975,0.0008376347791531712,Sips,[8.06724128 0.02474563 0.96661349]
BETGUE_clean,0.0003060386,0.146972918,0.289667671,1.302891381,3.456971779,0.007172209847118053,0.011309967844554144,0.0060316081716511195,0.0011008419264663687,Sips,[2.99389316e+01 9.71736481e-03 9.59274947e-01]
BETHEP_clean,0.0001584436,0.074614829,0.148175542,0.666624506,1.719306215,0.002582920302123639,0.008907845202072147,0.002581909524560647,0.0006045549455989687,Sips,[9.9474587  0.01503369 0.97184838]
BETHIT_clean,0.0002581963,0.119605942,0.238744339,1.080010653,2.930796545,0.006174015396034573,0.006654506862454212,0.005067988544998284,0.001489779425109877,Sips,[3.58706731e+01 6.64147231e-03 9.58255565e-01]
BETZOR_clean,0.0004913255,0.22469115,0.424282317,1.488521572,2.873740784,0.019391876526333115,0.06014425711493127,0.02997903216366589,0.0031852658663617827,Sips,[6.21359113 0.07242037 0.91389162]
BEVWAB_clean,0.0002851526,0.126493834,0.249435782,1.038835792,2.347463866,0.0046611204832664324,0.029563587440849477,0.007424011869299311,0.0012946240428319247,Sips,[6.96138055 0.03688033 0.96907921]
BEWCUD_clean,0.0002936736,0.147647594,0.286797806,1.45469302,4.077804758,0.005452371459074305,0.014923391445086028,0.0042455815085897216,0.0025141700853367967,Sips,[2.99747417e+01 9.77636436e-03 1.02628454e+00]
BEWVEG_clean,0.0001554303,0.076133401,0.151359821,0.681764687,1.747270241,0.0023169388594560655,0.009883233026813409,0.0024722008216063658,0.0005934236594681121,Sips,[9.38064934 0.01630886 0.97544871]
BEWVOQ_clean,0.0001684675,0.072210795,0.141237553,0.692289195,1.912811107,0.0009251583870279472,0.006676866889057665,0.0007110481128752707,0.0006577899952955582,Sips,[1.48454201e+01 9.66705290e-03 1.00731467e+00]
BEWWEH_clean,0.000134774,0.057813841,0.11668271,0.580486428,1.665141391,0.0009172960308829697,0.0035588290686487433,0.0005849991157557608,8.338523147232362e-05,Sips,[1.96864636e+01 5.95662265e-03 1.01239092e+00]
BEXPAX_clean,0.0005891069,0.276636351,0.543090022,2.343536807,5.415954008,0.005140106106276314,0.06441724686605403,0.01107363707896132,0.0009762151845088983,Sips,[16.54535511  0.03384993  0.98431372]
BEXQIF_clean,0.0002419906,0.111563832,0.224649334,1.05029675,2.944476346,0.0038521411501168993,0.004571523932087098,0.0031729776535252122,0.0012589352022907216,Sips,[5.08468783e+01 4.40314057e-03 9.73466787e-01]
BEXQOL_clean,0.0001803258,0.094970888,0.191935491,0.901387659,2.55523214,0.003287739821465206,0.002970036827473319,0.0026984783685736684,0.0011817290316880917,Sips,[6.05311271e+01 3.15373846e-03 9.73865502e-01]
BEXQUR_clean,0.0002088865,0.099016257,0.195568465,0.926945001,2.620679896,0.00282570726202621,0.00335515791603579,0.0021250594313829132,0.00022398177536496467,Sips,[5.20963007e+01 3.76213626e-03 9.76614462e-01]
BEXRAY_clean,0.0001667076,0.097767856,0.190478913,0.933751093,2.606723989,0.001022466893628363,0.0075130507660066915,0.0009214872544184888,0.0009575350025906588,Quadratic,[-1.29120618e-03  1.93144050e-01  1.02780287e-04]
BEXREC_clean,0.0001519599,0.100311772,0.198578165,0.956608876,2.670938464,0.0008181433452311022,0.0066022983230452454,0.0007642042064806885,9.336274017945116e-05,Sips,[2.83676536e+01 7.05391282e-03 9.93423232e-01]
BEXRIG_clean,0.0002038164,0.101975145,0.201960798,0.992394414,2.724523866,0.0018865883735991996,0.011001835557764104,0.0011433387624933686,0.0005809397205201905,Sips,[1.85152423e+01 1.10718811e-02 1.01409536e+00]
BEXRUT_clean,0.0001277482,0.060868556,0.122192861,0.556301896,1.426004607,0.0012082819731627037,0.008701389021305567,0.0015587648255420466,0.0005573434681037137,Sips,[7.14509464 0.01728712 0.98552545]
BEXSAA_clean,0.000157576,0.067153618,0.133906292,0.605077644,1.525303687,0.0012980583749227041,0.010579049238271169,0.0017968614058136323,0.00046819674635387154,Sips,[6.91163324 0.01965889 0.98504386]
BEXSEE_clean,0.0001224597,0.059420541,0.118708274,0.556373994,1.438721858,0.00024594254985832556,0.009202509860897384,0.000456946451317246,0.00013847284589175638,Sips,[6.82754502 0.01766539 1.0027784 ]
BEXSII_clean,0.0002848682,0.138102578,0.27368458,1.2107687,3.074544338,0.005891419672280823,0.017376063692101124,0.005846437480685739,0.0013167892262199304,Sips,[1.66907937e+01 1.65564789e-02 9.64849811e-01]
BEXTUV_clean,0.0003175071,0.159828063,0.307626732,1.215881868,2.497139709,0.004613496036660328,0.04868514305370636,0.01204912451458006,0.00048750589224055493,Sips,[5.55425067 0.0584933  0.9735812 ]
BEXVAD_clean,0.0003616869,0.167985688,0.319558342,1.226072949,2.445981322,0.006227668989044479,0.05195165127174207,0.014881317741861895,0.00032907818778106534,Sips,[5.17505427 0.06571045 0.96489056]
BEXVAD01_clean,0.0002573503,0.140902255,0.278818049,1.078868109,2.240585045,0.007044346951262369,0.040096939522661044,0.012788617507626623,0.0025842497775684084,Sips,[5.29787453 0.0547739  0.95776802]
BEXVEH_clean,0.0002007044,0.128103334,0.257395788,1.161461024,3.132552645,0.006465658466168755,0.008247540071061097,0.0055069052471552185,0.0019113243011475093,Sips,[3.35470856e+01 7.65118343e-03 9.60031350e-01]
BEXVIL_clean,0.0001892112,0.094559555,0.187551726,0.905050669,2.587447259,0.0014954033057015563,0.003284230469948818,0.001135095825475902,9.189798327509617e-05,Sips,[5.10525219e+01 3.68475777e-03 9.87196767e-01]
BEYSEF_clean,0.0001213412,0.058300532,0.112978442,0.538126689,1.390239387,0.0008953511748803688,0.009294606343835258,0.0005536682235766994,0.0006666232714071451,Quadratic,[-0.00148942  0.11500857  0.0002367 ]
BIBXIV_clean,0.0002666862,0.147012606,0.290201078,1.279005022,3.302881742,0.007985594939145172,0.014373609773106718,0.0071117040156725006,0.0014895951726029836,Sips,[2.25105286e+01 1.29648115e-02 9.54559369e-01]
BIBXOB_clean,0.0002726199,0.137711586,0.272178402,1.303425508,3.761298622,0.0037627164547624947,0.002008138527850459,0.002723259395875373,0.00024710940672721123,Sips,[1.73634976e+02 1.56802695e-03 9.77694430e-01]
BIBXUH_clean,0.0002436974,0.133075937,0.260944987,1.254392845,3.371948118,0.0009856124724293167,0.01529635707319387,0.000719875382334367,0.0008446250512576972,Quadratic,[-0.00260047  0.26376753  0.00054155]
BICPOT_clean,0.0002980242,0.135776762,0.267099604,1.14441104,2.553068873,0.0006773130433089928,0.03771376447514183,0.005190647124911313,0.00033760952318765406,Sips,[6.70408328 0.0414181  0.99627963]
BICPUA_clean,0.0002590612,0.130173215,0.256803919,1.222913291,3.57479104,0.00492362619678424,0.0011261208250914934,0.003502471179846913,,Freundlich,[0.2547319  1.02524192]
BIDPOV_clean,0.0005603684,0.237488217,0.471972859,2.022090505,5.096944163,0.015893280919437192,0.026129861551893743,0.014589806144424023,0.003891227900670872,Sips,[3.07405514e+01 1.54083584e-02 9.44286729e-01]
BIFGOO_clean,4.48932e-05,0.026939672,0.053405159,0.256476826,0.684250272,0.0002627010058784913,0.0034703869753468625,6.29335712225949e-05,7.800833937731331e-05,Quadratic,[-5.67983712e-04  5.41397373e-02 -4.71520800e-05]
BIFKEI_clean,0.0004160485,0.181033321,0.352578379,1.487634531,3.314818552,0.003552255564955196,0.046993640520097225,0.008692690199308281,0.00035630106232747456,Sips,[9.00078182 0.04070863 0.98288914]
