Adsorbent,O2_40C_0.001bar,O2_40C_0.5bar,O2_40C_1bar,O2_40C_5bar,RMSE_DSFL,model,fit_parameters
GANBAZ_clean,0.0019284306,0.9192215148,1.704596903,4.9691302116,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GANBAZ01_clean,0.0023461984,0.9944091546,1.8225026294,5.1026978263,8.3384305225392e-05,DSFL,"[9.535727486478734, 0.10682797843639401, 1.8209322472928253, 11.750191126766131, 0.09882051510155156, 1.8463946141862964]"
GANBAZ02_clean,0.0004967812,0.2684912914,0.52337162,2.2121582456,2.782154575577739e-05,DSFL,"[3.920083711320328e-08, 0.6856321830323039, 0.8442878811415687, 4.8466578402004235, 0.11384501730116788, 0.49012475306820313]"
GANBED_clean,0.0003584397,0.1755420895,0.3483747237,1.5567071752,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GANBED02_clean,0.0003426836,0.1698144599,0.3296294908,1.489920062,5.486362064352839e-06,DSFL,"[0.1985035060076775, 0.3718960134151624, 1.2056356555683339, 2.0804139216248685, 0.13452476591844417, 0.018731568687423924]"
GANBIH_clean,0.0002315938,0.1244577879,0.2453762572,0.9443298079,0.0009991637087346428,DSFL,"[5e-324, 7.454805818316659, 28.35130388011699, 14403.822402158534, 1.8094539264010016e-05, 3559.640468615583]"
GAQYIH_clean,0.0001264962,0.0579656011,0.1148230958,0.5727037818,1.1175095319577535e-05,DSFL,"[0.009718062306344368, 3.122112679133295, 3.2659243089473398, 0.0050824000655554594, 22.536037724086302, 1.8360360249960377e-07]"
GARQAU_clean,0.0002782266,0.1196374343,0.2361788975,0.9605464964,0.000667008673285689,DSFL,"[0.003247970480774631, 11.210778324540131, 16.11767100174395, 15249.689259892815, 1.625053332373852e-05, 3133.581198604345]"
GASSEB_clean,0.0001815731,0.0925945468,0.1835530041,0.8493119676,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GASSUR_clean,0.0001717989,0.0941986426,0.18873824,0.8773794786,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GASTIG_clean,0.0006087532,0.2820137213,0.5236181435,1.6670683077,1.2029724536251458e-06,DSFL,"[3.4527019651261734e-11, 0.27678891402727035, 31.851160539330568, 3.5869792131903573, 0.17041123054388888, 0.9835217633802451]"
GATQIE_clean,0.000252124,0.1175924144,0.231251695,1.0716420735,1.512571730425006e-08,DSFL,"[0.01236434461021755, 1.2661494609285742, 4.744919700657298, 1.759291771067463, 0.13448532382472533, 0.19223669840025862]"
GATQOK_clean,0.0002985767,0.1471803212,0.2871671568,1.2348010806,1.870157296344137e-06,DSFL,"[1.3056512628890077e-24, 8.655716403011963, 4.246523626871604, 1.8104789952045581, 0.16699104873874368, 0.3332746426377591]"
GAVYAG_clean,0.0005652676,0.2735417613,0.5157799213,1.8479589875,9.39615300005572e-06,DSFL,"[3.3612992744336466e-07, 1.1081739060314268, 0.8367425843483903, 2.4764456381041415, 0.2358697269726293, 0.587534942026817]"
GAWCUF_clean,0.0002050119,0.1076792837,0.2091473483,0.8502803426,8.465232211064069e-06,DSFL,"[1.2888817663623852e-36, 8.00478956161108, 10.227077701809876, 3.5142910529383937, 0.063158046885066, 0.9705304677264968]"
GAWMOJ_clean,0.0001135056,0.0751953877,0.1493229816,0.712916343,1.9010236131281387e-05,DSFL,"[2.911424466902567e-15, 0.6736030027533285, 5.869880287328764, 1.2702514274650512, 0.1192897217368515, 0.13006895629129106]"
GAXDIS10_clean,7.24833e-05,0.0377382804,0.0751812586,0.3626230628,1.1047630966481292e-05,DSFL,"[5.521469715528538, 0.008551087455430713, 1.1033668030370851, 3.117115310337813, 0.009190271782217053, 0.9570231134386172]"
GAXKOH_clean,0.0001277531,0.0655473067,0.1305836012,0.6230597177,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GAXQIH_clean,8.35791e-05,0.0462149509,0.0904090023,0.3988479921,5.563449946796105e-06,DSFL,"[0.2423115891755743, 0.1510821450624013, 0.8258617703146468, 1.8364738171451926, 0.031637664781042185, 0.15817230099738439]"
GAYFUJ_clean,0.0002428082,0.1259805554,0.2497758367,1.0628653572,0.0006731429800980114,DSFL,"[2.0832885760763276e-10, 0.38684595102929237, 0.9093799414084415, 14.143863011458459, 0.018357028531253997, 2.2774297123269958]"
GAYGAQ_clean_h,0.0003852967,0.1867870346,0.3603841464,1.3320204989,,DSFL,"[nan, nan, nan, nan, nan, nan]"
